,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,40,342.67879363563065,10.0,0.5966342109734821,288.90836954613366,1.0,0.6352395105479391,193.02613002055875,1.5,0.803846347923495,233.34596462745662,1.0,0.545851568246895,67.2403733342368,10.0,0.7383729576744846,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
1,75,335.26831582607826,1.5,0.9206634867923872,124.59092710658658,1.0,0.30200485183367004,204.8022247194619,1.0,0.24381068875443618,262.0440580454667,1.5,0.28738878981713584,291.17223338190126,1.5,0.1282106430867908,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 0,dikesnet
2,14,70.92290017469382,1.0,0.5381273074507288,100.67551272717712,10.0,0.9786475698780065,147.55658895445626,1.0,0.3448034229612709,111.90953892436121,1.5,0.7394104780937645,87.86906371367674,1.0,0.18630960756926357,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 0,dikesnet
3,67,282.69943520867633,1.5,0.7033458313155115,89.04321258491554,1.5,0.9512367318736912,168.6061342028571,1.0,0.44418710576540893,141.52204098030313,1.0,0.31538549457501697,64.69185409793194,1.5,0.6939989210300065,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 0,dikesnet
4,14,130.94687282204518,10.0,0.5354698183979416,151.26882864377853,1.0,0.16286304908691457,103.67596067914346,1.0,0.10706259853874119,33.895985410594754,1.5,0.7473464707949972,62.93246012044587,1.5,0.6130748525720044,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 0,dikesnet
5,8,322.5898759576348,1.0,0.4552150169905432,183.71713110097113,1.0,0.8290712878201477,34.33639952663409,10.0,0.14448473644824464,85.10915987380827,1.0,0.5624452296573837,208.11504801846385,10.0,0.3018666649735836,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 0,dikesnet
6,118,235.15751365195962,1.5,0.8864902516608144,112.94856310138611,1.0,0.05542308179545884,246.78544119709989,1.0,0.30912728967425374,346.77378913293927,10.0,0.6573397053399869,99.98782934446234,1.5,0.42689435420992833,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 0,dikesnet
7,113,284.2609798465,1.0,0.4232267906968694,74.856184540736,1.5,0.6881066869993093,185.6136187400299,1.0,0.4373541226782244,42.68935822045919,1.5,0.627307335132379,327.98433808343526,1.5,0.6291324265249028,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 0,dikesnet
8,14,190.51174542324063,1.0,0.07963875471903735,312.1397055434295,1.5,0.9104869509212948,34.92838671950964,10.0,0.15502088161825753,47.5587833548249,1.5,0.8877124199386732,331.44576017708675,1.0,0.20881944893151072,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 0,dikesnet
9,3,83.96860969152434,1.0,0.8215625846505332,181.29993700762932,1.0,0.40441252975576125,217.11853594537786,1.5,0.03971528159749489,306.1736630350716,1.0,0.33527355678120285,104.26500606706406,10.0,0.3359828817970504,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 0,dikesnet
10,71,279.8403218098848,1.5,0.8105214777065409,111.39657113722656,10.0,0.9864236011393338,111.30644920839642,1.5,0.737923511306862,205.2096518580962,1.0,0.10618039686583874,230.42278622139423,1.5,0.4258496126979796,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,policy 0,dikesnet
11,78,101.63904356856857,1.5,0.04476810127137253,288.7815447108374,1.0,0.9701815175841005,291.23188325875276,1.0,0.8600232458753279,288.7519176542538,1.5,0.14919274597392138,168.9619136267029,1.0,0.35153610144742925,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,policy 0,dikesnet
12,7,293.38964890008174,1.5,0.1564128051802668,194.75846328755574,1.0,0.2548774495001537,113.77204530834616,1.5,0.005978448351265993,151.60261042169083,1.5,0.41123107643518436,188.44183859790112,10.0,0.20967753074071066,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,policy 0,dikesnet
